eic,name,tso,substation_from,substation_to,u,imax_fixed,imax_seasonal,dlr_min,dlr_max,r,x,b,length_km,is_tieline
11TD8L203------C,Eula - Röhrsdorf 203,50HERTZ,Eula,Röhrsdorf,220.0,790.0,,,,4.0937,18.349,161.1637031291564,51.511,False
11TD8L207------H,Röhrsdorf - Weida 207,50HERTZ,Röhrsdorf,Weida,220.0,790.0,,,,7.5895,31.888,348.7167845484671,98.324,False
11TD8L208------9,Eula - Weida 208,50HERTZ,Eula,Weida,220.0,1070.0,,,,5.0537,19.541,264.2393580934375,67.55,False
11TD8L275------7,Bentwisch - Güstrow 275,50HERTZ,Bentwisch,Güstrow,220.0,1200.0,,,,1.909,12.055,158.0849423286384,41.418,False
11TD8L291------L,Wuhlheide - Thyrow 291,50HERTZ,Wuhlheide,Thyrow,220.0,960.0,,,,2.9672,11.191,266.784,38.882,False
11TD8L295------Q,Hennigsdorf - Wustermark 295,50HERTZ,Hennigsdorf,Wustermark,220.0,1070.0,,,,0.548,6.85,129.1194580625405,27.4,False
11TD8L301------I,Marzahn - Wuhlheide 301,50HERTZ,Marzahn,Wuhlheide,220.0,1070.0,,,,0.5487,2.4908,37.070793312359555,9.111,False
11TD8L302------A,Marzahn - Wuhlheide(Abzweig) 302/1,50HERTZ,Marzahn,Wuhlheide (Abzweig),220.0,960.0,,,,0.545,2.4772,37.070793312359555,9.111,False
11TD8L302------A,Wuhlheide (Abzweig) - Thyrow 302/2,50HERTZ,Wuhlheide (Abzweig),Thyrow,220.0,960.0,,,,2.9672,11.191,153.12122593596652,38.882,False
11TD8L303------2,Bertikow - Neuenhagen 303,50HERTZ,Bertikow,Neuenhagen,220.0,1070.0,,,,6.6733,25.638,321.16501697648454,86.064,False
11TD8L304------V,Neuenhagen - Vierraden 304,50HERTZ,Neuenhagen,Vierraden,220.0,1070.0,,,,7.9376,29.701,375.9858087816265,100.756,False
11TD8L305------N,Bertikow - Pasewalk 305,50HERTZ,Bertikow,Pasewalk,220.0,900.0,,,,2.2852,8.7795,109.98715880217867,29.471,False
