eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
11TD8T401EU12--E,TR Eula 220/400 401,50HERTZ,400.0,231.0,866.0,599.982399741859,0.668,51.462,-415.27,2.562,,False,True
11TD8T403GUE12-P,TR Güstrow 220/400 403,50HERTZ,380.0,231.0,1215.0,799.6878578545505,0.3328,22.5167,-477.407,3.1252,,False,True
11TD8T405NOR12-5,TR Hamburg/Nord 220/400 405,50HERTZ,400.0,231.0,650.0,450.3332099679081,0.925,62.9265,-0.5687,0.7688,,False,True
11TD8T406NOR12-Y,TR Hamburg/Nord 220/400 406,50HERTZ,400.0,231.0,650.0,450.3332099679081,0.925,62.9265,-0.5687,0.7688,,False,True
11T0-0000-0003-J,TR Lubmin 220/400 405,50HERTZ,400.0,231.0,650.0,450.3332099679081,0.7375,67.022,-0.547,0.75,,False,True
11TD8T401MZA12-Q,TR Marzahn 220/400 401,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.506,40.429,-1.126,0.5437,,False,True
11TD8T402MZA12-I,TR Marzahn 220/400 402,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.506,40.429,-1.126,0.5437,,False,True
11TD8T401NHG12-N,TR Neuenhagen 220/400 401,50HERTZ,380.0,231.0,1215.0,799.6878578545505,0.3328,22.5167,-477.407,3.1252,,False,True
11TD8T402NHG12-F,TR Neuenhagen 220/400 402,50HERTZ,380.0,231.0,1215.0,799.6878578545505,0.3328,22.5167,-477.407,3.1252,,False,True
11TD8T401RE12--J,TR Remptendorf 220/400 401,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11TD8T402RE12--B,TR Remptendorf 220/400 402,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11TD8T402ROE12-T,TR Röhrsdorf 220/400 402,50HERTZ,380.0,231.0,1215.0,799.6878578545505,0.3328,22.5167,-477.407,3.1252,,False,True
11TD8T403ROE12-T,TR Röhrsdorf 220/400 403,50HERTZ,380.0,231.0,1215.0,799.6878578545505,0.3328,22.5167,-477.407,3.1252,,False,True
11T0-0000-0011-L,PST Röhrsdorf 441,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.1,12.187,-0.902,1.1065,90.0,True,True
11T0-0000-0012-I,PST Röhrsdorf 442,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.097,12.607,-0.159,0.696,90.0,True,True
11TD8T401THY12-2,TR Thyrow 220/400 401,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11T0-0000-0013-F,PST Vierraden 441,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.1,12.187,-0.902,1.1065,90.0,True,True
11T0-0000-0014-C,PST Vierraden 443,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.097,12.607,-0.159,0.696,90.0,True,True
11T0-0000-0026-2,TR Vierraden 220/400 402,50HERTZ,400.0,231.0,650.0,450.3332099679081,0.925,62.9265,-0.5687,0.7688,,False,True
11T0-0000-0028-X,TR Vierraden 220/400 404,50HERTZ,400.0,231.0,650.0,450.3332099679081,0.925,62.9265,-0.5687,0.7688,,False,True
11TD8T402VIB12-B,TR Vieselbach 220/400 402,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11TD8T403VIB12-B,TR Vieselbach 220/400 403,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11TD8T404WOL12-H,TR Wolmirstedt 220/400 404,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11TD8T401WU12-0Y,TR Wustermark 220/400 401,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.703,64.88,-0.671,0.775,,False,True
11TD8T402WU12--S,TR Wustermark 220/400 402,50HERTZ,400.0,231.0,577.0,399.7573263868969,0.917,63.193,-0.75,1.0,,False,True
11T0-0000-1900-E,PST Hamburg/Ost 441,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.1,12.187,-0.902,1.1065,90.0,True,True
11T0-0000-1901-B,PST Hamburg/Ost 442,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.1,12.187,-0.902,1.1065,90.0,True,True
11T0-0000-1902-8,PST Hamburg/Ost 443,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.097,12.607,-0.159,0.696,90.0,True,True
11T0-0000-1903-5,PST Hamburg/Ost 444,50HERTZ,410.0,410.0,1690.0,1200.138004564475,0.097,12.607,-0.159,0.696,90.0,True,True
14T-38220-DR0410,TR Duernrohr DURHU41,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.786,-16.0268,5.7088,60.0,True,True
14T-38220-DR042Z,TR Duernrohr DURHU42,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.786,-16.0268,5.7088,60.0,True,True
14T-38220-EH0425,TR Ernsthofen EHRHU41,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.873,-16.0268,5.7088,60.0,True,True
14T-38220-EH0417,TR Ernsthofen EHRHU42,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.786,-16.0268,5.7088,60.0,True,True
14T-22220-EHPST5,PST Ernsthofen EHPST,APG,220.0,220.0,1493.0,568.9094082540734,0.1223,12.827,63.15141,1.6833,90.0,True,True
14T-38220-LI041Y,TR Lienz LIRHU41,APG,220.0,400.0,1554.0,592.1535300916478,0.2196,15.433,-16.0268,5.7088,60.0,True,True
14T-38220-LI042W,TR Lienz LIRHU42,APG,220.0,400.0,1554.0,592.1535300916478,0.2196,15.433,-16.0268,5.7088,60.0,True,True
14T-22220-LIPSTW,PST Lienz LIPST,APG,220.0,220.0,746.0,284.26417853820413,0.2937,23.591,4.3939,1.7895,90.0,True,True
14T-38220-OS0413,TR Obersielach OSRHU41,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.433,-16.0268,5.7088,60.0,True,True
14T-RHU43-OS---K,TR Obersielach OSRHU43,APG,220.0,400.0,1531.0,583.3893530053492,0.1773,15.609,-10.0555,2.6427,60.0,True,True
14T-38220-OS0421,TR Obersielach OSRHU42,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.433,-16.0268,5.7088,60.0,True,True
14T-38220-SP041V,TR St. Peter SPRHU41,APG,220.0,400.0,1427.0,543.7600305281733,0.1942,15.099,-6.71943,2.7958,-60.0,True,True
14T-38220-SP042T,TR St. Peter SPRHU42,APG,220.0,400.0,1427.0,543.7600305281733,0.1942,15.099,-6.71943,2.7958,-60.0,True,True
14T-38220-SP043R,TR St. Peter SPRHU43,APG,220.0,400.0,1427.0,543.7600305281733,0.1942,15.099,-6.71943,2.7958,-60.0,True,True
14T-38220-TA041Q,TR Tauern TARHU41,APG,220.0,400.0,1554.0,592.1535300916478,0.1925,15.432,-12.6401,5.0472,60.0,True,True
14T-38220-TA042O,TR Tauern TARHU42,APG,220.0,400.0,1554.0,592.1535300916478,0.1925,15.432,-12.6401,5.0472,60.0,True,True
14T-22220-TAPSTO,PST Tauern TAPST,APG,220.0,220.0,1493.0,568.9094082540734,0.1223,12.827,63.15141,1.6833,90.0,True,True
14T-22220-TEPST4,PST Ternitz TEPST,APG,220.0,220.0,1493.0,568.9094082540734,0.1223,12.827,63.15141,1.6833,90.0,True,True
14T-38220-WT041O,TR Westtirol WTRHU41,APG,400.0,220.0,1443.0,999.7397261287559,0.2987,21.601,-6.6615,1.7,59.99,True,True
14T-38221-SO041S,TR Wien Suedost SORHU41,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.786,-16.0268,5.7088,60.0,True,True
