hour,eic,direction,cont_name,branch_eic,branch_name,substation_from,substation_to,element_type
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,DIRECT,Kainachtal - Obersielach 471,14T-380-0-00471D,Kainachtal - Obersielach 471,Kainachtal,Obersielach,Line
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,DIRECT,Kainachtal - Maribor 473 400 kV Maribor - Kainachtal 1,10T-AT-SI-00001T,Kainachtal - Maribor 473,Kainachtal,Maribor,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,DIRECT,Kainachtal - Maribor 473 400 kV Maribor - Kainachtal 1,10T-AT-SI-00001T,400 kV Maribor - Kainachtal 1,Maribor,Kainachtal,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,DIRECT,400 kV Cirkovce - Podlog,28T000000000301K,400 kV Cirkovce - Podlog,Cirkovce,Podlog,Line
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,OPPOSITE,400 kV Cirkovce - Podlog,28T000000000301K,400 kV Cirkovce - Podlog,Cirkovce,Podlog,Line
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,DIRECT,400 kV Cirkovce - Krsko,28T000000000300M,400 kV Cirkovce - Krsko,Cirkovce,Krsko,Line
2024-08-28 22:00:00+00:00,10T-AT-DE-000037,DIRECT,Pirach Neu - Pleinting 296/257 Pirach Neu - Pirach 296/257,11T0-0000-2108-O,Pirach Neu - Pleinting 296/257,Pirach Neu,Pleinting,Line
2024-08-28 22:00:00+00:00,10T-AT-DE-000037,DIRECT,Pirach Neu - Pleinting 296/257 Pirach Neu - Pirach 296/257,11T0-0000-2108-O,Pirach Neu - Pirach 296/257,Pirach Neu,Pirach,Line
2024-08-28 22:00:00+00:00,14T-220-0-0273BO,DIRECT,Strass - Thaur 274B,14T-220-0-0274BL,Strass - Thaur 274B,Strass,Thaur,Line
2024-08-28 22:00:00+00:00,10T-AT-CZ-00003X,OPPOSITE,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,10T-AT-CZ-00004V,Slavetice - Durnrohr - V438,Slavetice,Durnrohr,TieLine
2024-08-28 22:00:00+00:00,10T-AT-CZ-00003X,OPPOSITE,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,10T-AT-CZ-00004V,Duernrohr 1 - Slavetice 438,Duernrohr 1,Slavetice,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,DIRECT,Kainachtal - Maribor 474 400 kV Maribor - Kainachtal 2,10T-AT-SI-00002R,Kainachtal - Maribor 474,Kainachtal,Maribor,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,DIRECT,Kainachtal - Maribor 474 400 kV Maribor - Kainachtal 2,10T-AT-SI-00002R,400 kV Maribor - Kainachtal 2,Maribor,Kainachtal,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,OPPOSITE,Kainachtal - Maribor 474 400 kV Maribor - Kainachtal 2,10T-AT-SI-00002R,Kainachtal - Maribor 474,Kainachtal,Maribor,TieLine
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,OPPOSITE,Kainachtal - Maribor 474 400 kV Maribor - Kainachtal 2,10T-AT-SI-00002R,400 kV Maribor - Kainachtal 2,Maribor,Kainachtal,TieLine
2024-08-28 22:00:00+00:00,14T-38220-WT041O,OPPOSITE,Westtirol 2 - Voehringen 411 Westtirol - Voehringen FUESSN W,10T1001C--00037V,Westtirol 2 - Voehringen 411,Westtirol 2,Voehringen,TieLine
2024-08-28 22:00:00+00:00,14T-38220-WT041O,OPPOSITE,Westtirol 2 - Voehringen 411 Westtirol - Voehringen FUESSN W,10T1001C--00037V,Westtirol - Voehringen FUESSN W,Westtirol,Voehringen,TieLine
2024-08-28 22:00:00+00:00,14T-38220-WT041O,OPPOSITE,Buers - Westtirol ws (421) Westtirol 1 - Buers 421,10T-AT-DE-000053,Buers - Westtirol ws (421),Buers,Westtirol,TieLine
