hour,eic,name,tso,direction,hub_from,hub_to,substation_from,substation_to,element_type,fmax_type,u,imax,fmax,frm,fref,ram,contingency_count,tso_disagreement
2024-08-28 22:00:00+00:00,10T-AT-CZ-00003X,Duernrohr 1 - Slavetice 437,APG,OPPOSITE,AT,CZ,Duernrohr 1,Slavetice,TieLine,SEASONAL,380.0,2804.0,1943.0,194.0,861.0,1086.0,1,False
2024-08-28 22:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,DE,AT,Pleinting,St. Peter,TieLine,SEASONAL,220.0,1561.0,608.0,61.0,469.0,341.0,1,False
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,Kainachtal - Maribor 473,APG,DIRECT,AT,SI,Kainachtal,Maribor,TieLine,SEASONAL,380.0,1920.0,1330.0,133.0,1046.0,878.0,1,False
2024-08-28 22:00:00+00:00,10T-AT-SI-00001T,Kainachtal - Maribor 473,APG,OPPOSITE,AT,SI,Kainachtal,Maribor,TieLine,SEASONAL,380.0,1920.0,1330.0,133.0,-1046.0,1516.0,1,False
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,AT,SI,Obersielach,Podlog,TieLine,SEASONAL,220.0,1101.0,429.0,43.0,406.0,170.0,4,False
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,OPPOSITE,AT,SI,Obersielach,Podlog,TieLine,SEASONAL,220.0,1101.0,429.0,43.0,-403.0,602.0,1,False
2024-08-28 22:00:00+00:00,10T-BE-FR-000015,Achene - Lonny 380.19,ELIA,DIRECT,BE,FR,Achene,Lonny,TieLine,SEASONAL,380.0,2179.0,1510.0,151.0,-339.0,1375.0,1,False
2024-08-28 22:00:00+00:00,10T-BE-FR-000015,Achene - Lonny 380.19,ELIA,OPPOSITE,BE,FR,Achene,Lonny,TieLine,SEASONAL,380.0,2179.0,1510.0,151.0,339.0,1343.0,3,False
2024-08-28 22:00:00+00:00,10T-CZ-DE-00001W,Etzenricht - Hradec 441,TENNETGMBH,OPPOSITE,DE,CZ,Etzenricht,Hradec,TieLine,FIXED,380.0,2000.0,1386.0,139.0,144.0,947.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-DE-00002U,Hradec - Rohrsdorf 445,50HERTZ,OPPOSITE,CZ,DE,Hradec,Rohrsdorf,TieLine,FIXED,380.0,2520.0,1746.0,175.0,1134.0,783.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-DE-00004Q,Etzenricht - Prestice 442,TENNETGMBH,OPPOSITE,DE,CZ,Etzenricht,Prestice,TieLine,FIXED,380.0,2265.0,1569.0,157.0,80.0,1131.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-PL-00004A,Wielopole - Nosovice,PSE,DIRECT,PL,CZ,Wielopole,Nosovice,TieLine,DYNAMIC,380.0,1941.0,1345.0,134.0,667.0,782.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-PL-00004A,Wielopole - Nosovice,PSE,OPPOSITE,PL,CZ,Wielopole,Nosovice,TieLine,DYNAMIC,380.0,1941.0,1345.0,134.0,-667.0,1640.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00001Y,Liskovec - P. Bystrica,CEPS,DIRECT,CZ,SK,Liskovec,P. Bystrica,TieLine,FIXED,220.0,665.0,259.0,26.0,183.0,166.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00001Y,Liskovec - P. Bystrica,CEPS,OPPOSITE,CZ,SK,Liskovec,P. Bystrica,TieLine,FIXED,220.0,665.0,259.0,26.0,-183.0,300.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,CZ,SK,Nosovice,Varin,TieLine,FIXED,380.0,1720.0,1192.0,119.0,1127.0,690.0,1,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,OPPOSITE,CZ,SK,Nosovice,Varin,TieLine,FIXED,380.0,1720.0,1192.0,119.0,-1127.0,679.0,4,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00003U,Sokolnice - Krizovany,CEPS,DIRECT,CZ,SK,Sokolnice,Krizovany,TieLine,FIXED,380.0,2000.0,1386.0,139.0,894.0,1075.0,3,False
2024-08-28 22:00:00+00:00,10T-CZ-SK-00003U,Sokolnice - Krizovany,CEPS,OPPOSITE,CZ,SK,Sokolnice,Krizovany,TieLine,FIXED,380.0,2000.0,1386.0,139.0,-894.0,1348.0,3,False
2024-08-28 22:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,DIRECT,DE,FR,Ensdorf,Vigy,TieLine,FIXED,380.0,2720.0,1884.0,188.0,-1611.0,2771.0,1,False
2024-08-28 22:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,DE,FR,Ensdorf,Vigy,TieLine,FIXED,380.0,2720.0,1884.0,188.0,1611.0,621.0,1,False
2024-08-28 22:00:00+00:00,10T-DE-NL-00002T,Diele - Meeden 380 White,TENNETBV,DIRECT,DE,NL,Diele,Meeden,TieLine,SEASONAL,380.0,1520.0,1053.0,105.0,442.0,245.0,2,False
2024-08-28 22:00:00+00:00,10T-DE-NL-00005N,Maasbracht - Oberzier 380 white,AMPRION,DIRECT,NL,DE,Maasbracht,Oberzier,TieLine,SEASONAL,380.0,2500.0,1732.0,173.0,548.0,990.0,7,False
2024-08-28 22:00:00+00:00,10T-HR-HU-000033,Pecs - Ernestinovo1 491A,HOPS,OPPOSITE,HU,HR,Pecs,Ernestinovo,TieLine,SEASONAL,380.0,1920.0,1330.0,133.0,374.0,917.0,1,False
2024-08-28 22:00:00+00:00,10T-HR-SI-000014,Melina - Divaca,HOPS,DIRECT,HR,SI,Melina,Divaca,TieLine,SEASONAL,380.0,1920.0,1330.0,133.0,138.0,561.0,2,False
2024-08-28 22:00:00+00:00,10T-HR-SI-000022,Pehlin - Divaca,HOPS,DIRECT,HR,SI,Pehlin,Divaca,TieLine,SEASONAL,220.0,960.0,374.0,37.0,-2.0,125.0,1,False
2024-08-28 22:00:00+00:00,10T-HR-SI-000022,Pehlin - Divaca,HOPS,OPPOSITE,HR,SI,Pehlin,Divaca,TieLine,SEASONAL,220.0,960.0,374.0,37.0,36.0,401.0,2,False
2024-08-28 22:00:00+00:00,10T-HR-SI-00004Z,Tumbri - Krsko 1,HOPS,OPPOSITE,HR,SI,Tumbri,Krsko,TieLine,SEASONAL,380.0,1920.0,1330.0,133.0,498.0,1062.0,1,False
2024-08-28 22:00:00+00:00,10T-HU-SK-00001T,Levice - God,SEPS,DIRECT,SK,HU,Levice,God,TieLine,FIXED,380.0,2000.0,1386.0,139.0,1152.0,686.0,1,False
2024-08-28 22:00:00+00:00,10T-HU-UA-00002F,Kisvarda - Mukachevo,MAVIR,DIRECT,HU,UA,Kisvarda,Mukachevo,TieLine,SEASONAL,220.0,640.0,249.0,25.0,-36.0,184.0,1,False
2024-08-28 22:00:00+00:00,10T-HU-UA-00002F,Kisvarda - Mukachevo,MAVIR,OPPOSITE,HU,UA,Kisvarda,Mukachevo,TieLine,SEASONAL,220.0,640.0,249.0,25.0,36.0,264.0,1,False
2024-08-28 22:00:00+00:00,10T-RO-RS-00001V,Portile de Fier - Djerdap,TRANSELECTRICA,OPPOSITE,RO,RS,Portile de Fier,Djerdap,TieLine,SEASONAL,380.0,1836.0,1272.0,127.0,273.0,985.0,1,False
2024-08-28 22:00:00+00:00,10T-SK-UA-00001W,V.Kapusany - Mukachevo (WPS),SEPS,DIRECT,SK,UA,Velke Kapusany,Mukachevo,TieLine,SEASONAL,380.0,1570.0,1088.0,109.0,787.0,693.0,1,False
2024-08-28 22:00:00+00:00,10T-SK-UA-00001W,V.Kapusany - Mukachevo (WPS),SEPS,OPPOSITE,SK,UA,Velke Kapusany,Mukachevo,TieLine,SEASONAL,380.0,1570.0,1088.0,109.0,-787.0,1265.0,1,False
2024-08-28 22:00:00+00:00,10T1001A1001A09N,Dobrzen - Detmarovice,PSE,DIRECT,PL,CZ,Dobrzen,Detmarovice,TieLine,DYNAMIC,380.0,1922.0,1332.0,133.0,890.0,595.0,1,False
2024-08-28 22:00:00+00:00,10T1001C--00056R,Gabcikovo - Gonyu,MAVIR,DIRECT,SK,HU,Gabcikovo,Gonyu,TieLine,FIXED,380.0,2000.0,1386.0,139.0,746.0,1152.0,1,False
2024-08-28 22:00:00+00:00,10T1001C--00056R,Gabcikovo - Gonyu,MAVIR,OPPOSITE,SK,HU,Gabcikovo,Gonyu,TieLine,FIXED,380.0,2000.0,1386.0,139.0,-46.0,1005.0,2,False
2024-08-28 22:00:00+00:00,10T1001C--00101B,Cirkovce - Heviz,MAVIR,DIRECT,SI,HU,Cirkovce,Heviz,TieLine,FIXED,380.0,2000.0,1109.0,139.0,107.0,1158.0,3,True
2024-08-28 22:00:00+00:00,10T1001C--00101B,Cirkovce - Heviz,MAVIR,OPPOSITE,SI,HU,Cirkovce,Heviz,TieLine,FIXED,380.0,2000.0,1109.0,139.0,-107.0,824.0,3,True
2024-08-28 22:00:00+00:00,10T1001C--001223,Sokolnice - Zaya - V244,CEPS,DIRECT,CZ,AT,Sokolnice,Zaya,TieLine,DYNAMIC,220.0,800.0,312.0,31.0,129.0,224.0,1,False
2024-08-28 22:00:00+00:00,10T1001C--001223,Sokolnice - Zaya - V244,CEPS,OPPOSITE,CZ,AT,Sokolnice,Zaya,TieLine,DYNAMIC,220.0,800.0,312.0,31.0,-129.0,338.0,1,False
2024-08-28 22:00:00+00:00,11T0-0000-0011-L,PST Roehrsdorf 441,50HERTZ,DIRECT,DE,DE,Roehrsdorf,Roehrsdorf,PST,FIXED,380.0,2028.0,1405.0,141.0,235.0,826.0,1,False
2024-08-28 22:00:00+00:00,11T0-0000-0013-F,PST Vierraden 441,50HERTZ,DIRECT,DE,DE,Vierraden,Vierraden,PST,FIXED,380.0,2000.0,1386.0,139.0,1088.0,554.0,1,False
2024-08-28 22:00:00+00:00,11T0-0000-0781-W,Y-Oberzier (-Paffendorf - Sechtem) SECHTM N,AMPRION,DIRECT,DE,DE,Oberzier,Y-Paffendorf,Line,DYNAMIC,380.0,3244.0,2248.0,225.0,834.0,1115.0,2,False
2024-08-28 22:00:00+00:00,11TD2L000000003L,Altheim - Sittling 219,TENNETGMBH,DIRECT,DE,DE,Altheim,Sittling,Line,DYNAMIC,220.0,1012.0,394.0,39.0,-287.0,427.0,1,False
2024-08-28 22:00:00+00:00,11TD2L000000003L,Altheim - Sittling 219,TENNETGMBH,OPPOSITE,DE,DE,Altheim,Sittling,Line,DYNAMIC,220.0,1012.0,394.0,39.0,287.0,283.0,1,False
2024-08-28 22:00:00+00:00,11TD8L555------W,Dresden/Sued - Schmoelln 555,50HERTZ,OPPOSITE,DE,DE,Dresden/Sued,Schmoelln,Line,FIXED,380.0,2500.0,1732.0,173.0,1081.0,865.0,1,False
2024-08-28 22:00:00+00:00,14T-220-0-0273BO,Strass - Thaur 273B,APG,DIRECT,AT,AT,Strass,Thaur,Line,SEASONAL,220.0,1229.0,479.0,48.0,-105.0,336.0,1,False
2024-08-28 22:00:00+00:00,14T-38220-WT041O,Westtirol 1 - Westtirol 2 WTRHU41,APG,OPPOSITE,AT,AT,Westtirol 1,Westtirol 2,Transformer,SEASONAL,220.0,1443.0,1000.0,100.0,-164.0,731.0,2,False
2024-08-28 22:00:00+00:00,14T-38220-ZZ041D,Zell am Ziller 1 - Zell am Ziller 2 ZZRHU41,APG,DIRECT,AT,AT,Zell am Ziller 1,Zell am Ziller 2,Transformer,SEASONAL,220.0,1732.0,1200.0,120.0,-387.0,924.0,1,False
2024-08-28 22:00:00+00:00,15T-M000002791-J,Gonyu - Gyor,MAVIR,DIRECT,HU,HU,Gonyu,Gyor,Line,FIXED,380.0,2000.0,1386.0,139.0,960.0,891.0,1,False
2024-08-28 22:00:00+00:00,19T000000001304A,Krosno Iskrzynia - Rzeszow,PSE,OPPOSITE,PL,PL,Krosno Iskrzynia,Rzeszow,Line,DYNAMIC,380.0,1360.0,942.0,94.0,784.0,448.0,1,False
2024-08-28 22:00:00+00:00,19T000000004057N,Mikulowa AT1,PSE,DIRECT,PL,PL,Mikulowa AT1,Mikulowa AT1,Transformer,DYNAMIC,220.0,873.0,605.0,61.0,195.0,464.0,1,False
2024-08-28 22:00:00+00:00,19T000000004057N,Mikulowa AT1,PSE,OPPOSITE,PL,PL,Mikulowa AT1,Mikulowa AT1,Transformer,DYNAMIC,220.0,873.0,605.0,61.0,-195.0,624.0,1,False
2024-08-28 22:00:00+00:00,19T0000000063830,Mikulowa PST1,PSE,DIRECT,PL,PL,Mikulowa PST1,Mikulowa PST1,PST,DYNAMIC,380.0,1905.0,1320.0,132.0,869.0,724.0,1,False
2024-08-28 22:00:00+00:00,19T0000000063830,Mikulowa PST1,PSE,OPPOSITE,PL,PL,Mikulowa PST1,Mikulowa PST1,PST,DYNAMIC,380.0,1905.0,1320.0,132.0,-869.0,1652.0,1,False
2024-08-28 22:00:00+00:00,22T-BE-IN-LI018R,Lixhe - Gramme 380.11,ELIA,DIRECT,BE,BE,Gramme,Lixhe,Line,SEASONAL,380.0,2051.0,1421.0,142.0,217.0,851.0,1,False
2024-08-28 22:00:00+00:00,22T-BE-IN-LI02AK,Doel - Zandvliet 380.25,ELIA,DIRECT,BE,BE,Doel,Zandvliet,Line,SEASONAL,380.0,2178.0,1509.0,151.0,345.0,831.0,1,False
2024-08-28 22:00:00+00:00,22T-BE-PST--001W,PST Van Eyck 1,ELIA,DIRECT,BE,BE,Van Eyck,Van Eyck,PST,SEASONAL,380.0,2042.0,1415.0,141.0,-132.0,1358.0,1,False
2024-08-28 22:00:00+00:00,22T-BE-PST--002U,PST Van Eyck 2,ELIA,DIRECT,BE,BE,Van Eyck,Van Eyck,PST,SEASONAL,380.0,2042.0,1415.0,141.0,-484.0,1642.0,4,False
2024-08-28 22:00:00+00:00,22T-BE-PST--002U,PST Van Eyck 2,ELIA,OPPOSITE,BE,BE,Van Eyck,Van Eyck,PST,SEASONAL,380.0,2042.0,1415.0,141.0,645.0,797.0,4,False
2024-08-28 22:00:00+00:00,24T-V425-0000004,V.Dur - Krizovany,SEPS,DIRECT,SK,SK,V.Dur,Krizovany,Line,FIXED,380.0,2100.0,1455.0,145.0,-754.0,1248.0,1,False
2024-08-28 22:00:00+00:00,24T-V425-0000004,V.Dur - Krizovany,SEPS,OPPOSITE,SK,SK,V.Dur,Krizovany,Line,FIXED,380.0,2100.0,1455.0,145.0,754.0,1372.0,1,False
2024-08-28 22:00:00+00:00,24T-V429-0000005,Gabcikovo - P.Biskupice,SEPS,DIRECT,SK,SK,Gabcikovo,P.Biskupice,Line,FIXED,380.0,2280.0,1580.0,158.0,-729.0,1350.0,1,False
2024-08-28 22:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,SK,SK,V.Dur,Levice,Line,FIXED,380.0,2100.0,1455.0,145.0,1339.0,612.0,1,False
2024-08-28 22:00:00+00:00,24T-V493-000000Q,H.Zdana - Sucany,SEPS,DIRECT,SK,SK,H.Zdana,Sucany,Line,FIXED,380.0,2000.0,1386.0,139.0,-248.0,968.0,1,False
