hour,eic,name,tso,direction,cont_name,shadow_price,ram,fmax
2024-08-28 22:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,156.829770154,175.0,429.0
2024-08-28 22:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,N-1 Krizovany - Sokolnice,106.803605203,690.0,1192.0
2024-08-28 23:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,176.751209293,190.0,429.0
2024-08-28 23:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,N-1 Krizovany - Sokolnice,48.785998079,734.0,1192.0
2024-08-28 23:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,59.985999374,116.0,400.0
2024-08-29 00:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,127.594692142,199.0,429.0
2024-08-29 00:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,N-1 Krizovany - Sokolnice,85.166998539,736.0,1192.0
2024-08-29 00:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,7.88989075,395.0,1884.0
2024-08-29 01:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,109.501409375,184.0,429.0
2024-08-29 01:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,N-1 Krizovany - Sokolnice,84.090814829,758.0,1192.0
2024-08-29 01:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,2.554158163,376.0,1884.0
2024-08-29 02:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,69.908674105,202.0,429.0
2024-08-29 02:00:00+00:00,10T-CZ-SK-00002W,Nosovice - Varin,CEPS,DIRECT,N-1 Krizovany - Sokolnice,90.439011136,798.0,1192.0
2024-08-29 02:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,2.18706637,426.0,1884.0
2024-08-29 03:00:00+00:00,11TD2L000000003L,Altheim - Sittling 219,TENNETGMBH,OPPOSITE,N-1 Altheim - Sittling 220,48.185901522,251.0,398.0
2024-08-29 03:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,28.318108331,437.0,1884.0
2024-08-29 03:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,129.1188178,105.0,400.0
2024-08-29 04:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Kainachtal - Obersielach 471,9.075827333,182.0,365.0
2024-08-29 04:00:00+00:00,11TD2L000000003L,Altheim - Sittling 219,TENNETGMBH,OPPOSITE,N-1 Altheim - Sittling 220,44.242065136,210.0,394.0
2024-08-29 04:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,93.661063133,380.0,1884.0
2024-08-29 04:00:00+00:00,10T-DE-NL-00002T,Diele - Meeden 380 White,TENNETBV,OPPOSITE,N-1 Zwolle-Hengelo 380 W,44.471233539,662.0,1053.0
2024-08-29 05:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Kainachtal - Obersielach 471,1.637314249,117.0,365.0
2024-08-29 05:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,4.42572485,217.0,538.0
2024-08-29 05:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,40.768194879,450.0,1884.0
2024-08-29 07:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Cirkovce-Podlog,6.291307763,208.0,365.0
2024-08-29 07:00:00+00:00,11T0-0000-0984-D,Y-Altheim (-Simbach - St. Peter) 233/230,TENNETGMBH,DIRECT,N-1 St. Peter - Altheim_Simbach 234_230,9.286175604,171.0,372.0
2024-08-29 07:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,44.19742421,82.0,400.0
2024-08-29 08:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,218.996583129,79.0,400.0
2024-08-29 09:00:00+00:00,19T000000001304A,Krosno Iskrzynia - Rzeszow,PSE,OPPOSITE,N-1 Krosno Iskrzynia - Tarnow,16.257707286,460.0,900.0
2024-08-29 09:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,248.65483319,92.0,400.0
2024-08-29 10:00:00+00:00,11T0-0000-0986-7,Y-Altheim (-Simbach - St. Peter) 234/230,TENNETGMBH,OPPOSITE,N-1 St. Peter - Altheim_Simbach 233_230,113.987470808,164.0,355.0
2024-08-29 10:00:00+00:00,19T000000001304A,Krosno Iskrzynia - Rzeszow,PSE,OPPOSITE,N-1 Krosno Iskrzynia - Tarnow,132.589225131,437.0,858.0
2024-08-29 10:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,308.733747667,86.0,400.0
2024-08-29 11:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,170.759870158,259.0,365.0
2024-08-29 11:00:00+00:00,11T0-0000-0986-7,Y-Altheim (-Simbach - St. Peter) 234/230,TENNETGMBH,OPPOSITE,N-1 St. Peter - Altheim_Simbach 233_230,347.858710291,162.0,351.0
2024-08-29 11:00:00+00:00,19T000000001304A,Krosno Iskrzynia - Rzeszow,PSE,OPPOSITE,N-1 Krosno Iskrzynia - Tarnow,226.963404839,369.0,817.0
2024-08-29 11:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,85.413501141,86.0,400.0
2024-08-29 12:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,186.650286949,256.0,365.0
2024-08-29 12:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,241.215205901,157.0,538.0
2024-08-29 12:00:00+00:00,19T000000001304A,Krosno Iskrzynia - Rzeszow,PSE,OPPOSITE,N-1 Krosno Iskrzynia - Tarnow,141.496299623,359.0,796.0
2024-08-29 12:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,112.533069372,79.0,400.0
2024-08-29 13:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,111.472649652,282.0,365.0
2024-08-29 13:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,132.869118654,166.0,538.0
2024-08-29 13:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,169.847081716,78.0,400.0
2024-08-29 14:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,147.118031934,169.0,365.0
2024-08-29 14:00:00+00:00,11T0-0000-0984-D,Y-Altheim (-Simbach - St. Peter) 233/230,TENNETGMBH,DIRECT,N-1 St. Peter - Altheim_Simbach 234_230,298.24094248,114.0,348.0
2024-08-29 14:00:00+00:00,30T-ROSI400AT--1,TR Rosiori 400/220 1,TRANSELECTRICA,DIRECT,N-1 Rosiori - Gadalin,28.266750434,77.0,400.0
2024-08-29 14:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,80.519942059,561.0,1455.0
2024-08-29 15:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Kainachtal - Obersielach 471,863.288704821,137.0,365.0
2024-08-29 15:00:00+00:00,11T0-0000-0984-D,Y-Altheim (-Simbach - St. Peter) 233/230,TENNETGMBH,DIRECT,N-1 St. Peter - Altheim_Simbach 234_230,995.805385369,95.0,348.0
2024-08-29 15:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,7.358074676,376.0,1884.0
2024-08-29 15:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,150.776753178,605.0,1455.0
2024-08-29 16:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,4324.577773211,100.0,365.0
2024-08-29 16:00:00+00:00,11T0-0000-0984-D,Y-Altheim (-Simbach - St. Peter) 233/230,TENNETGMBH,DIRECT,N-1 St. Peter - Altheim_Simbach 234_230,2202.864491643,97.0,355.0
2024-08-29 16:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,61.427064956,500.0,1884.0
2024-08-29 16:00:00+00:00,10T-DE-NL-00002T,Diele - Meeden 380 White,TENNETBV,OPPOSITE,N-1 Eemshaven-Meeden-Zwolle 380 W,43.473784452,670.0,1053.0
2024-08-29 16:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,346.263938151,603.0,1455.0
2024-08-29 17:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,4804.468901767,82.0,365.0
2024-08-29 17:00:00+00:00,11TD2L000000003L,Altheim - Sittling 219,TENNETGMBH,OPPOSITE,N-1 Altheim - Sittling 220,2048.874741826,95.0,365.0
2024-08-29 17:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,424.088967749,485.0,1884.0
2024-08-29 17:00:00+00:00,10T-HU-SK-00001T,Levice - God,SEPS,DIRECT,N-1 R.Sobota - Sajoivanka,461.43905616,750.0,1386.0
2024-08-29 17:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,109.239032688,610.0,1455.0
2024-08-29 18:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Kainachtal - Obersielach 471,3804.583790159,130.0,429.0
2024-08-29 18:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,61.387484082,189.0,608.0
2024-08-29 18:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,740.973380888,524.0,1884.0
2024-08-29 18:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,979.676127428,586.0,1455.0
2024-08-29 19:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Kainachtal - Obersielach 471,302.553136038,158.0,429.0
2024-08-29 19:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,169.547625251,475.0,1884.0
2024-08-29 19:00:00+00:00,19T0000000063830,Mikulowa PST1,PSE,DIRECT,N-1 Hagenwerder - Mikulowa 1,28.760412574,607.0,1320.0
2024-08-29 19:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,37.884392029,595.0,1455.0
2024-08-29 20:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,31.241749992,229.0,429.0
2024-08-29 20:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,49.311742946,213.0,608.0
2024-08-29 20:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,5.014167003,508.0,1884.0
2024-08-29 20:00:00+00:00,24T-V490-000000G,V.Dur - Levice 1,SEPS,DIRECT,N-1 V.Dur - Levice 2,28.816480517,607.0,1455.0
2024-08-29 21:00:00+00:00,10T-AT-SI-00003P,Obersielach - Podlog 247,APG,DIRECT,N-1 Maribor-Kainachtal 1,36.154301191,253.0,429.0
2024-08-29 21:00:00+00:00,10T-AT-DE-000037,Pleinting - St. Peter 258,APG,DIRECT,N-1 Pirach - Pirach - Pleinting 296/257,92.045168103,262.0,608.0
2024-08-29 21:00:00+00:00,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,AMPRION,OPPOSITE,N-1 Ensdorf - Vigy VIGY1 N,21.386125415,514.0,1884.0
2024-08-29 21:00:00+00:00,10T-HU-SK-00001T,Levice - God,SEPS,DIRECT,N-1 R.Sobota - Sajoivanka,47.350089803,745.0,1386.0
